,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
,Meteorological - Hydrological:,Region of Quebec City and Trois-Rivières QC,2-Jan-76,1,10,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,ëles-de-la-Madeleine QC,28-Jul-75,1,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Saint Bonaventure QC,25-Jul-75,3,59,918,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Maniwaki QC,1-Jan-74,0,0,10000,"$21,765,136"
,Flood,,,,,,
,Arson:,Montreal QC,1-Sep-72,37,50,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Richelieu River QC,1-Apr-72,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southwestern Quebec,19-Feb-72,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Victoriaville QC,27-Aug-71,0,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,"Maniwaki, D_l_age, Egan, South Region of Outaouais QC",14-May-71,2,11,100,Unknown
,Tornado,,,,,,
,Geological:,Saint-Jean-Vianney QC,4-May-71,31,0,1500,"$1,250,000"
,Landslide,,,,,,
,Meteorological - Hydrological:,Saint-Jean QC,1-May-71,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Montreal QC,1-Apr-71,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Montreal QC,4-Mar-71,0,0,0,Unknown
,Winter Storm,,,,,,
,Terrorist:,Montreal QC,5-Oct-70,1,0,0,Unknown
,Kidnapping / Murder,,,,,,
,Meteorological - Hydrological:,Chaudière River QC,22-Apr-70,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Montreal QC,28-Dec-69,15,0,0,Unknown
,Winter Storm,,,,,,
,Fire:,Notre-Dame-du-Lac QC,2-Dec-69,38,30,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Baie-Comeau QC,3-Nov-66,5,0,0,Unknown
,Flood,,,,,,
,Fire:,Lasalle QC,1-Jan-66,11,0,0,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,St. Lawrence counties of Quebec,1-Jan-66,0,0,0,Unknown
,Drought,,,,,,
,Explosion:,Lasalle QC,1-Mar-65,28,50,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,"Ontario, Quebec and New Brunswick",1-Jan-65,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,St. Lawrence River QC,1-Jan-65,20,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Ontario and Quebec,1-Jan-64,0,0,0,Unknown
,Drought,,,,,,
,Geological:,Saint-Joachim-de-Tourelle QC,11-Dec-63,4,0,236,Unknown
,Landslide,,,,,,
,Transportation accident:,"Sainte-Th_rèse-de-Blainville, QC",29-Nov-63,118,0,0,Unknown
,Air,,,,,,
,Geological:,Toulnustouc River QC,11-Dec-62,9,0,0,Unknown
,Landslide,,,,,,
,Meteorological - Hydrological:,Montreal QC,25-Feb-61,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Fire:,Montreal QC,7-Nov-58,18,0,0,Unknown
,Residential,,,,,,
,Transportation accident:,Quebec City QC,11-Aug-57,79,0,0,Unknown
,Air,,,,,,
,Civil Incident:,Murdochville QC,8-Mar-57,1,2,0,Unknown
,Rioting,,,,,,
,Meteorological - Hydrological:,Thetford Mines QC,1-Jan-57,0,0,0,Unknown
,Flood,,,,,,
,Geological:,Nicolet QC,12-Nov-55,3,6,2000,Unknown
,Landslide,,,,,,
,Meteorological - Hydrological:,Quebec and Ontario,1-Jul-55,0,0,0,"$24,402,775"
,Wildfire,,,,,,
,Biological:,Across Canada,1-Jan-53,481,8000,0,Unknown
,Epidemic,,,,,,
,Fire:,"Rimouski and Cabano, QC",1-Jan-50,0,0,0,Unknown
,Non-Residential,,,,,,
,Terrorist:,Saint-Joachim QC,9-Sep-49,32,0,0,Unknown
,Bomb Attacks,,,,,,
,Transportation accident:,Saint-Donat QC,19-Oct-43,24,0,0,Unknown
,Air,,,,,,
,Geological:,St-Gregoire-de-Montmercy QC,1-Sep-38,4,12,0,Unknown
,Landslide,,,,,,
,Transportation accident:,Louiseville QC,15-Aug-36,22,22,0,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Across Canada,5-Jul-36,1180,0,0,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,New Brunswick and Eastern Quebec,4-May-33,3,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,St. Lawrence River,26-Jun-30,30,11,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Rideau, Chaudière and Quyon Rivers QC",1-Jan-28,3,0,0,Unknown
,Flood,,,,,,
,Biological:,Across Canada,1-Mar-27,Unknown,0,0,Unknown
,Epidemic,,,,,,
,Fire:,Montreal QC,9-Jan-27,76,0,0,Unknown
,Residential,,,,,,
,Biological:,Across Canada,1-Jan-18,50000,2000000,0,Unknown
,Epidemic,,,,,,
,Infrastructure failure:,Quebec City QC,11-Sep-16,13,0,0,Unknown
,Transportation,,,,,,
,Transportation accident:,St. Lawrence River QC,28-May-14,1024,0,0,Unknown
,Marine,,,,,,
,Meteorological - Hydrological:,Eastern Canada,8-Jul-12,3,0,0,Unknown
,Heat Event,,,,,,
,Geological:,Coucoucache QC,18-Apr-10,6,0,0,Unknown
,Landslide,,,,,,
,Geological:,St-Alphonse-de-Bagotville QC,15-Apr-10,4,0,0,Unknown
,Landslide,,,,,,
,Geological:,Notre-Dame-de-la-Salette QC,26-Apr-08,33,0,0,Unknown
,Landslide,,,,,,
,Infrastructure failure:,Quebec City QC,29-Aug-07,75,0,0,Unknown
,Transportation,,,,,,
,Fire:,Ottawa ON and Hull QC,26-Apr-00,7,0,15000,Unknown
,Non-Residential,,,,,,
