,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Hazardous Chemicals:,Stoney Creek ON,21-Jan-86,0,0,1000,Unknown
,Fire,,,,,,
,Geological:,Brantford ON,1-Jan-86,0,0,0,Unknown
,Landslide,,,,,,
,Meteorological - Hydrological:,Lake Huron and Lake Erie ON,2-Dec-85,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Hopeville to Barrie ON,31-May-85,12,500,800,"$171,183,695"
,Tornado,,,,,,
,Meteorological - Hydrological:,Windsor ON,30-May-85,5,0,0,"$33,404,381"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Lake Erie ON,31-Mar-85,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Chatham ON,23-Feb-85,0,0,30,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,Smiths Falls ON,1-Jan-85,0,0,200,Unknown
,Vehicle Release,,,,,,
,Meteorological - Hydrological:,London ON,2-Sep-84,0,30,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Eastern Ontario and Western Quebec,15-Jul-84,1,43,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Chesley ON,30-Apr-84,0,0,0,"$82,773,505"
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,Southern Ontario,13-Feb-84,2,0,150,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,Fort Frances ON,1-Jan-84,0,0,200,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,Ontario,14-Jul-83,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Reeces Corners ON,3-May-83,0,0,0,"$246,614"
,Tornado,,,,,,
,Terrorist:,Toronto ON,14-Oct-82,0,10,0,Unknown
,Bomb Attacks,,,,,,
,Hazardous Chemicals:,Orillia ON,28-Feb-82,0,0,1200,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Across Canada,5-Jan-82,0,0,0,Unknown
,Cold Event,,,,,,
,Hazardous Chemicals:,Medonte ON,1-Jan-82,0,0,200,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Southeastern ON,18-Feb-81,0,0,0,"$4,328,221"
,Flood,,,,,,
,Fire:,Mississauga ON,14-Jul-80,21,35,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Red Lake ON,1-Jun-80,0,0,5000,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southern Ontario,21-Mar-80,0,0,0,Unknown
,Flood,,,,,,
,Fire:,Hamilton ON,1-Jan-80,0,0,600,Unknown
,Residential,,,,,,
,Hazardous Chemicals:,Mississauga ON,10-Nov-79,0,0,225000,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Woodstock ON,7-Aug-79,2,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Central Ontario,12-May-79,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Central Ontario,24-Apr-79,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southwestern Ontario,5-Mar-79,0,0,0,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,North York ON,21-Feb-79,0,0,5000,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Yukon to Ontario,8-Feb-79,0,0,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Southwestern Ontario,26-Jan-78,8,400,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Central Ontario,1-Jan-78,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Southern and Central Ontario,13-Mar-77,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Niagara Peninsula ON,28-Jan-77,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Toronto ON,27-Aug-76,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Lake Superior ON,10-Nov-75,29,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Cambridge/Waterloo Region ON,17-May-74,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Windsor ON,3-Apr-74,9,30,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Barrie ON,18-Mar-73,12,43,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Lake Huron ON,1-Mar-73,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Ontario,1-Jan-73,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,"Sudbury, Lively, Coppercliff and Field ON",20-Aug-70,6,200,0,"$474,384"
,Tornado,,,,,,
,Transportation accident:,Toronto ON,5-Jul-70,109,0,0,Unknown
,Air,,,,,,
,Meteorological - Hydrological:,Central Ontario,27-Jun-70,0,0,0,Unknown
,Flood,,,,,,
,Fire:,Dunnville ON,1-Jan-69,13,0,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Lambeth ON,19-Aug-68,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southwestern and Southern Ontario,2-Feb-68,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Ontario,13-Jan-68,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Huron and Perth counties ON,17-Apr-67,0,0,0,Unknown
,Tornado,,,,,,
,Infrastructure failure:,Ottawa ON,1-Jan-66,9,57,0,Unknown
,Transportation,,,,,,
,Transportation accident:,Lake Huron ON,1-Jan-66,28,0,0,Unknown
,Marine,,,,,,
,Meteorological - Hydrological:,"Ontario, Quebec and New Brunswick",1-Jan-65,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Ontario and Quebec,1-Jan-64,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Ontario,1-Jan-63,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Timmins ON,31-Aug-61,5,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern and Central Ontario,9-May-60,0,0,0,Unknown
,Flood,,,,,,
,Explosion:,Windsor ON,1-Jan-60,11,0,0,Unknown
,Non-Residential,,,,,,
,Fire:,Lanark ON,1-Jan-59,0,0,122,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Southern Ontario,30-Aug-56,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Quebec and Ontario,1-Jul-55,0,0,0,"$222,221,015"
,Wildfire,,,,,,
,Meteorological - Hydrological:,Toronto ON,14-Oct-54,81,0,7472,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Southern Ontario,15-Feb-54,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Toronto ON,24-Aug-53,1,186,0,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,Sarnia ON,21-May-53,7,40,500,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Lake Superior ON,1-Jan-53,17,0,0,Unknown
,Storm - Unspecified / Other,,,,,,
,Biological:,Across Canada,1-Jan-53,481,8000,0,Unknown
,Epidemic,,,,,,
,Transportation accident:,Coniston ON,9-Feb-51,9,31,0,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Southern Ontario,4-Apr-50,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Ontario,24-Mar-50,0,0,0,Unknown
,Flood,,,,,,
,Fire:,Toronto ON,17-Sep-49,118,0,0,Unknown
